date,station_name,city,state,latitude,longitude,PM25,PM10,NO2,SO2,CO,O3,AQI
2023-01-01,"Anand Vihar, Delhi",Delhi,Delhi,28.647,77.315,185.0,300.0,56.5,18.5,2.4400000000000004,81.0,
2023-01-01,"Bandra, Mumbai",Mumbai,Maharashtra,19.055,72.842,68.0,105.0,30.5,9.4,1.1400000000000001,48.5,
2023-01-01,"Hebbal, Bengaluru",Bengaluru,Karnataka,13.035,77.598,42.0,59.5,18.8,6.800000000000001,0.75,55.0,
2023-01-01,"Victoria, Kolkata",Kolkata,West Bengal,22.544,88.342,120.0,196.0,43.5,12.0,1.5300000000000002,65.4,
2023-01-01,"Manali, Chennai",Chennai,Tamil Nadu,13.165,80.263,52.4,79.0,17.5,9.4,0.8800000000000001,44.6,
2023-01-01,"Sanathnagar, Hyderabad",Hyderabad,Telangana,17.456,78.441,81.0,131.0,26.6,8.1,1.01,60.2,
2023-01-01,"IGIMS, Patna",Patna,Bihar,25.611,85.093,211.0,352.0,63.0,19.8,2.7,94.0,
2023-01-01,"Shivajinagar, Pune",Pune,Maharashtra,18.531,73.849,74.5,111.5,24.0,8.1,1.01,52.4,
2023-01-01,"Sector 22, Chandigarh",Chandigarh,Chandigarh,30.733,76.789,146.0,235.0,47.4,12.0,1.7900000000000003,73.2,
2023-01-01,"Civil Lines, Lucknow",Lucknow,Uttar Pradesh,26.847,80.947,198.0,326.0,60.400000000000006,17.2,2.3099999999999996,87.5,
2023-01-01,"Palasia, Indore",Indore,Madhya Pradesh,22.719,75.857,107.0,163.5,34.4,10.700000000000001,1.2700000000000002,55.0,
2023-01-01,"New Rajendra Nagar, Bhopal",Bhopal,Madhya Pradesh,23.259,77.413,113.5,176.5,37.0,12.0,1.4000000000000001,62.80000000000001,
2023-01-02,"Anand Vihar, Delhi",Delhi,Delhi,28.647,77.315,186.0,301.0,57.5,19.5,2.54,82.0,
2023-01-02,"Bandra, Mumbai",Mumbai,Maharashtra,19.055,72.842,69.0,106.0,31.5,10.4,1.24,49.5,
2023-01-02,"Hebbal, Bengaluru",Bengaluru,Karnataka,13.035,77.598,43.0,60.5,19.8,7.800000000000001,0.8500000000000001,56.0,
2023-01-02,"Victoria, Kolkata",Kolkata,West Bengal,22.544,88.342,121.0,197.0,44.5,13.0,1.6300000000000001,66.4,
2023-01-02,"Manali, Chennai",Chennai,Tamil Nadu,13.165,80.263,53.4,80.0,18.5,10.4,0.9800000000000002,45.6,
2023-01-02,"Sanathnagar, Hyderabad",Hyderabad,Telangana,17.456,78.441,82.0,132.0,27.6,9.1,1.11,61.2,
2023-01-02,"IGIMS, Patna",Patna,Bihar,25.611,85.093,212.0,353.0,64.0,20.8,2.8,95.0,
2023-01-02,"Shivajinagar, Pune",Pune,Maharashtra,18.531,73.849,75.5,112.5,25.0,9.1,1.11,53.4,
2023-01-02,"Sector 22, Chandigarh",Chandigarh,Chandigarh,30.733,76.789,147.0,236.0,48.4,13.0,1.8900000000000003,74.2,
2023-01-02,"Civil Lines, Lucknow",Lucknow,Uttar Pradesh,26.847,80.947,199.0,327.0,61.400000000000006,18.2,2.4099999999999997,88.5,
2023-01-02,"Palasia, Indore",Indore,Madhya Pradesh,22.719,75.857,108.0,164.5,35.4,11.700000000000001,1.3700000000000003,56.0,
2023-01-02,"New Rajendra Nagar, Bhopal",Bhopal,Madhya Pradesh,23.259,77.413,114.5,177.5,38.0,13.0,1.5000000000000002,63.80000000000001,
2023-01-03,"Anand Vihar, Delhi",Delhi,Delhi,28.647,77.315,187.0,302.0,58.5,20.5,2.14,83.0,
2023-01-03,"Bandra, Mumbai",Mumbai,Maharashtra,19.055,72.842,70.0,107.0,32.5,11.4,0.8400000000000001,50.5,
2023-01-03,"Hebbal, Bengaluru",Bengaluru,Karnataka,13.035,77.598,44.0,61.5,20.8,8.8,0.45,57.0,
2023-01-03,"Victoria, Kolkata",Kolkata,West Bengal,22.544,88.342,122.0,198.0,45.5,14.0,1.2300000000000002,67.4,
2023-01-03,"Manali, Chennai",Chennai,Tamil Nadu,13.165,80.263,54.400000000000006,81.0,19.5,11.4,0.5800000000000001,46.6,
2023-01-03,"Sanathnagar, Hyderabad",Hyderabad,Telangana,17.456,78.441,83.0,133.0,28.6,10.1,0.71,62.2,
2023-01-03,"IGIMS, Patna",Patna,Bihar,25.611,85.093,213.0,354.0,65.0,21.8,2.4,96.0,
2023-01-03,"Shivajinagar, Pune",Pune,Maharashtra,18.531,73.849,76.5,113.5,26.0,10.1,0.71,54.4,
2023-01-03,"Sector 22, Chandigarh",Chandigarh,Chandigarh,30.733,76.789,148.0,237.0,49.4,14.0,1.4900000000000002,75.2,
2023-01-03,"Civil Lines, Lucknow",Lucknow,Uttar Pradesh,26.847,80.947,200.0,328.0,62.400000000000006,19.2,2.01,89.5,
2023-01-03,"Palasia, Indore",Indore,Madhya Pradesh,22.719,75.857,109.0,165.5,36.4,12.700000000000001,0.9700000000000002,57.0,
2023-01-03,"New Rajendra Nagar, Bhopal",Bhopal,Madhya Pradesh,23.259,77.413,115.5,178.5,39.0,14.0,1.1,64.80000000000001,
2023-01-04,"Anand Vihar, Delhi",Delhi,Delhi,28.647,77.315,188.0,303.0,59.5,17.5,2.24,72.0,
2023-01-04,"Bandra, Mumbai",Mumbai,Maharashtra,19.055,72.842,71.0,108.0,33.5,8.4,0.9400000000000002,39.5,
2023-01-04,"Hebbal, Bengaluru",Bengaluru,Karnataka,13.035,77.598,45.0,62.5,21.8,5.800000000000001,0.55,46.0,
2023-01-04,"Victoria, Kolkata",Kolkata,West Bengal,22.544,88.342,123.0,199.0,46.5,11.0,1.3300000000000003,56.400000000000006,
2023-01-04,"Manali, Chennai",Chennai,Tamil Nadu,13.165,80.263,55.400000000000006,82.0,20.5,8.4,0.6799999999999999,35.6,
2023-01-04,"Sanathnagar, Hyderabad",Hyderabad,Telangana,17.456,78.441,84.0,134.0,29.6,7.1,0.81,51.2,
2023-01-04,"IGIMS, Patna",Patna,Bihar,25.611,85.093,214.0,355.0,66.0,18.8,2.5,85.0,
2023-01-04,"Shivajinagar, Pune",Pune,Maharashtra,18.531,73.849,77.5,114.5,27.0,7.1,0.81,43.4,
2023-01-04,"Sector 22, Chandigarh",Chandigarh,Chandigarh,30.733,76.789,149.0,238.0,50.4,11.0,1.5900000000000003,64.2,
2023-01-04,"Civil Lines, Lucknow",Lucknow,Uttar Pradesh,26.847,80.947,201.0,329.0,63.400000000000006,16.2,2.11,78.5,
2023-01-04,"Palasia, Indore",Indore,Madhya Pradesh,22.719,75.857,110.0,166.5,37.4,9.700000000000001,1.0700000000000003,46.0,
2023-01-04,"New Rajendra Nagar, Bhopal",Bhopal,Madhya Pradesh,23.259,77.413,116.5,179.5,40.0,11.0,1.2000000000000002,53.800000000000004,
2023-01-05,"Anand Vihar, Delhi",Delhi,Delhi,28.647,77.315,189.0,304.0,60.5,18.5,2.3400000000000003,73.0,
2023-01-05,"Bandra, Mumbai",Mumbai,Maharashtra,19.055,72.842,72.0,109.0,34.5,9.4,1.04,40.5,
2023-01-05,"Hebbal, Bengaluru",Bengaluru,Karnataka,13.035,77.598,46.0,63.5,22.8,6.800000000000001,0.6500000000000001,47.0,
2023-01-05,"Victoria, Kolkata",Kolkata,West Bengal,22.544,88.342,124.0,200.0,47.5,12.0,1.4300000000000002,57.400000000000006,
2023-01-05,"Manali, Chennai",Chennai,Tamil Nadu,13.165,80.263,56.400000000000006,83.0,21.5,9.4,0.78,36.6,
2023-01-05,"Sanathnagar, Hyderabad",Hyderabad,Telangana,17.456,78.441,85.0,135.0,30.6,8.1,0.9099999999999999,52.2,
2023-01-05,"IGIMS, Patna",Patna,Bihar,25.611,85.093,215.0,356.0,67.0,19.8,2.6,86.0,
2023-01-05,"Shivajinagar, Pune",Pune,Maharashtra,18.531,73.849,78.5,115.5,28.0,8.1,0.9099999999999999,44.4,
2023-01-05,"Sector 22, Chandigarh",Chandigarh,Chandigarh,30.733,76.789,150.0,239.0,51.4,12.0,1.6900000000000002,65.2,
2023-01-05,"Civil Lines, Lucknow",Lucknow,Uttar Pradesh,26.847,80.947,202.0,330.0,64.4,17.2,2.21,79.5,
2023-01-05,"Palasia, Indore",Indore,Madhya Pradesh,22.719,75.857,111.0,167.5,38.4,10.700000000000001,1.1700000000000002,47.0,
2023-01-05,"New Rajendra Nagar, Bhopal",Bhopal,Madhya Pradesh,23.259,77.413,117.5,180.5,41.0,12.0,1.3,54.800000000000004,
2023-01-06,"Anand Vihar, Delhi",Delhi,Delhi,28.647,77.315,190.0,305.0,61.5,19.5,2.4400000000000004,74.0,
2023-01-06,"Bandra, Mumbai",Mumbai,Maharashtra,19.055,72.842,73.0,110.0,35.5,10.4,1.1400000000000001,41.5,
2023-01-06,"Hebbal, Bengaluru",Bengaluru,Karnataka,13.035,77.598,47.0,64.5,23.8,7.800000000000001,0.75,48.0,
2023-01-06,"Victoria, Kolkata",Kolkata,West Bengal,22.544,88.342,125.0,201.0,48.5,13.0,1.5300000000000002,58.400000000000006,
2023-01-06,"Manali, Chennai",Chennai,Tamil Nadu,13.165,80.263,57.400000000000006,84.0,22.5,10.4,0.8800000000000001,37.6,
2023-01-06,"Sanathnagar, Hyderabad",Hyderabad,Telangana,17.456,78.441,86.0,136.0,31.6,9.1,1.01,53.2,
2023-01-06,"IGIMS, Patna",Patna,Bihar,25.611,85.093,216.0,357.0,68.0,20.8,2.7,87.0,
2023-01-06,"Shivajinagar, Pune",Pune,Maharashtra,18.531,73.849,79.5,116.5,29.0,9.1,1.01,45.4,
2023-01-06,"Sector 22, Chandigarh",Chandigarh,Chandigarh,30.733,76.789,151.0,240.0,52.4,13.0,1.7900000000000003,66.2,
2023-01-06,"Civil Lines, Lucknow",Lucknow,Uttar Pradesh,26.847,80.947,203.0,331.0,65.4,18.2,2.3099999999999996,80.5,
2023-01-06,"Palasia, Indore",Indore,Madhya Pradesh,22.719,75.857,112.0,168.5,39.4,11.700000000000001,1.2700000000000002,48.0,
2023-01-06,"New Rajendra Nagar, Bhopal",Bhopal,Madhya Pradesh,23.259,77.413,118.5,181.5,42.0,13.0,1.4000000000000001,55.800000000000004,
2023-01-07,"Anand Vihar, Delhi",Delhi,Delhi,28.647,77.315,191.0,306.0,62.5,20.5,2.54,75.0,
2023-01-07,"Bandra, Mumbai",Mumbai,Maharashtra,19.055,72.842,74.0,111.0,36.5,11.4,1.24,42.5,
2023-01-07,"Hebbal, Bengaluru",Bengaluru,Karnataka,13.035,77.598,48.0,65.5,24.8,8.8,0.8500000000000001,49.0,
2023-01-07,"Victoria, Kolkata",Kolkata,West Bengal,22.544,88.342,126.0,202.0,49.5,14.0,1.6300000000000001,59.400000000000006,
2023-01-07,"Manali, Chennai",Chennai,Tamil Nadu,13.165,80.263,58.400000000000006,85.0,23.5,11.4,0.9800000000000002,38.6,
2023-01-07,"Sanathnagar, Hyderabad",Hyderabad,Telangana,17.456,78.441,87.0,137.0,32.6,10.1,1.11,54.2,
2023-01-07,"IGIMS, Patna",Patna,Bihar,25.611,85.093,217.0,358.0,69.0,21.8,2.8,88.0,
2023-01-07,"Shivajinagar, Pune",Pune,Maharashtra,18.531,73.849,80.5,117.5,30.0,10.1,1.11,46.4,
2023-01-07,"Sector 22, Chandigarh",Chandigarh,Chandigarh,30.733,76.789,152.0,241.0,53.4,14.0,1.8900000000000003,67.2,
2023-01-07,"Civil Lines, Lucknow",Lucknow,Uttar Pradesh,26.847,80.947,204.0,332.0,66.4,19.2,2.4099999999999997,81.5,
2023-01-07,"Palasia, Indore",Indore,Madhya Pradesh,22.719,75.857,113.0,169.5,40.4,12.700000000000001,1.3700000000000003,49.0,
2023-01-07,"New Rajendra Nagar, Bhopal",Bhopal,Madhya Pradesh,23.259,77.413,119.5,182.5,43.0,14.0,1.5000000000000002,56.800000000000004,
